bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,percentage_meme_A_spread,percentage_meme_B_spread,percentage_spread,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_appearance,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance,Run
171,88,33,131,123,61,32,94,35,0.7566371681415929,0.3893805309734513,0.904,5,6,24,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,39
173,6,0,127,132,73,35,51,6,0.9664804469273743,0.0335195530726257,0.716,14,2,71,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,40
138,163,76,124,121,60,26,63,79,0.6133333333333333,0.7244444444444444,0.9,9,9,25,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,41
154,83,37,132,124,72,36,46,33,0.77,0.415,0.8,9,5,50,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,42
61,155,5,147,139,74,35,24,49,0.2890995260663507,0.7345971563981043,0.844,8,7,39,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,43
135,170,77,135,137,81,32,50,70,0.5921052631578947,0.7456140350877193,0.912,6,9,22,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,44
157,24,6,132,123,66,33,59,8,0.8971428571428571,0.13714285714285715,0.7,7,2,75,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,45
188,76,43,136,116,64,37,62,29,0.8506787330316742,0.3438914027149321,0.884,11,8,29,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,46
181,68,41,129,129,64,26,84,29,0.8701923076923077,0.3269230769230769,0.832,7,10,42,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,47
132,137,50,122,141,67,29,52,56,0.6027397260273972,0.6255707762557078,0.876,7,5,31,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,48
126,145,37,126,125,61,35,46,48,0.5384615384615384,0.6196581196581197,0.936,21,13,16,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,49
179,54,21,143,123,72,35,72,16,0.8443396226415094,0.25471698113207547,0.848,10,14,38,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,50
